conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
2043837526318952937,Mon Apr 13 23:43:33 +0000 2026,2,Dugaan Pelecehan oleh 16 Mahasiswa FH UI: Dipecat dari IKM-Terancam Sanksi Kampus https://t.co/H0KbBfnTMS,2043837526318952937,,,in,,0,0,0,https://x.com/undefined/status/2043837526318952937,1668188086067683331,
2043835881895932284,Mon Apr 13 23:37:01 +0000 2026,4,Aduh benci banget sama orang orang yang anggep kasus pelecehan seksual oleh 16 mahasiswa fh ui ini cuma sebagai gossip teh seru banget entertainment . Ini kasus KEKERASAN SEKSUAL korbannya banyak tolong dipake empati dan nuraninya kepada korban dan kawal pelaku terus.,2043835881895932284,,,in,,0,0,1,https://x.com/undefined/status/2043835881895932284,1886703285664669698,
2043827645851603201,Mon Apr 13 23:04:17 +0000 2026,576,Sumpah gak habis fikri dengan kelakuan 16 mahasiswa FH UI. Bukannya belajar baik-baik untuk melindungi kaum tertindas malah ramai-ramai melakukan pelecehan verbal terhadap perempuan. Parahnya lagi mereka sadar kalau sampai chat nya bocor bakal tamat. Masih berstatus mahasiswa https://t.co/iskWIFoV5B,2043827645851603201,https://pbs.twimg.com/ext_tw_video_thumb/2043827593762439168/pu/img/wJp0VFFe-XG96zuG.jpg,,in,,20,110,202,https://x.com/undefined/status/2043827645851603201,1611654278862766080,
2043782534035837104,Mon Apr 13 20:05:02 +0000 2026,2,PADA GILA INI 16 MAHASISWA FH UICUMA MUTER JAWABANNYA PLENGER BANGETDAN TERPANTAU SETELAH SELESAI ACARA LANGSUNG PADA BUKA HP https://t.co/6uNmPx8PMI,2043782534035837104,https://pbs.twimg.com/media/HFz5XlMasAQvb33.jpg,,in,,0,0,0,https://x.com/undefined/status/2043782534035837104,1263208570495078400,
2043774707057734003,Mon Apr 13 19:33:56 +0000 2026,1,16 Mahasiswa FH UI pelaku KS di grup line. #pelecehanmahasiswi,2043774707057734003,,,in,,0,0,0,https://x.com/undefined/status/2043774707057734003,844488295857831937,
2043762897210441893,Mon Apr 13 18:47:00 +0000 2026,4,Calon penegak hukum tapi kok malah jadi terduga pelaku pelecehan? Lagi-lagi ruang aman di kampus dipertanyakan. Mirisnya kali ini melibatkan 16 mahasiswa FH UI yang seharusnya paling paham tentang keadilan. https://t.co/BMJrtxz8bC,2043762897210441893,https://pbs.twimg.com/media/HFznhhGasAEF-ej.jpg,,in,,0,1,0,https://x.com/undefined/status/2043762897210441893,1788177201466355712,
2043753964269883748,Mon Apr 13 18:16:39 +0000 2026,0,@Qiarfi intinya ada grup isinya 16 mahasiswa fh ui yg di dalam grup itu mereka melakukan KS secara verbal ke mahasiswi dan bahkan dosen kak cmiiw yaa,2043755257793261758,,Qiarfi,in,,0,3,0,https://x.com/undefined/status/2043755257793261758,1490976020890980354,
2043537019285197296,Mon Apr 13 13:06:45 +0000 2026,26,@sadampermana_w mereka baru minta maaf doang kawal terus sampe ada sanksi setimpal https://t.co/VJRoH0ZeQu,2043677270695657692,,sadampermana_w,in,,0,1,1,https://x.com/undefined/status/2043677270695657692,1800178104188764160,
2043668639447163102,Mon Apr 13 12:32:27 +0000 2026,6,16 Mahasiswa FH UI Lecehkan Mahasiswi di Grup Chat Ini Tanggapan Kampus ~RK Baca di sini: https://t.co/VkEiotJyWP,2043668639447163102,,,in,,0,2,2,https://x.com/undefined/status/2043668639447163102,23343960,
2043640301022278004,Mon Apr 13 11:37:10 +0000 2026,23,@thxorns minta maaf doang mereka minimal sanksi https://t.co/VJRoH0ZeQu,2043654725321826727,,thxorns,in,,0,0,3,https://x.com/undefined/status/2043654725321826727,1800178104188764160,
