createdAt,text,sentimen
2026-04-12 03:20:25,"@DennySeggssegar @sampahfhui jangan shift the blame dong. seandainya mereka ga bercanda soal memperkosa juga gabakal diunggah di sini toh? di ranah paling mikro pun, kalau pandangan terhadap perempuan udah pincang, mau jadi pemimpin gimanapun juga bakal cacat. dont ever kill the messenger :)",Positive
2026-04-12 03:56:44,gue pernah ke fhui buat edukasi mrk soal KS waktu petinggi BEM FH UI viral krn bikin gerakaan gak pantes waktu parade ui. ketemu ama anak2 bem nya dan yg ngurus parade dr fh (w lupa namanya) sama bbrp dosen. tanggepan mrk ya jelek gt masih ada aja yang nyalahin pakaian wkwk,Positive
2026-04-12 04:27:51,"@DennySeggssegar @sampahfhui Tongkrongan nya sampah, emg pantes buat disebar, ditelanjangin, diarak, dibakar",Positive
2026-04-12 04:47:04,@DennySeggssegar @sampahfhui Calon pengacara handal???? Hah???,Positive
2026-04-12 05:16:28,@DennySeggssegar @sampahfhui Um.. membunuh org juga private bang. Ga dilakuin depan umum. Bgtu juga menucuri dan memperkosa. Semuanya dilakukan diruang pribadi. Dilakukan diruang pribada bukan berarti bebas. Hukum ‘harusnya’ ga kenal lokasi 😅,Positive
2026-04-12 06:31:46,@DennySeggssegar @sampahfhui Apa bedanya ama lu nyebarin bokep di grup private?,Negative
2026-04-12 06:37:00,"@DennySeggssegar @sampahfhui Mereka sendiri aja sadar kelakuannya salah kok, apalagi dengan jabatan yg mereka punya. Mereka nyamain diri mereka sama pejabat bejat &amp; mengaku salah mintaf maaf meskipun pake template. Ngapain lu sibuk2 nyepongin org salah?",Positive
2026-04-12 06:52:40,"@DennySeggssegar @sampahfhui Statement sampahh, pengacara handal? Bentukan penjahat kelamin gitu jadi pengacara handal sakit luu bang.",Positive
2026-04-12 06:59:59,@DennySeggssegar @sampahfhui lu kira korupsi sifatnya gak pribadi?,Positive
2026-04-12 08:07:57,@DennySeggssegar @sampahfhui baru jadi calon pengacara aja udah ngelecehin,Positive
2026-04-12 08:10:21,@DennySeggssegar @sampahfhui Inilah knp sistem hukum di indonesia gk bnr. Pemikiran mahasiswanya aja begini @mydazeae,Positive
2026-04-12 08:23:50,anjg itu kasus fh ui parah bgt dah masa ga di kick dr kampus,Positive
2026-04-12 09:31:05,"@DennySeggssegar @sampahfhui Anjay, ada aja cara ngebela sesama.",Negative
2026-04-12 09:41:09,@DennySeggssegar @sampahfhui disosmed selalu ada yg kontra tiap ada kejadian kriminal yg terungkap dan biasanya template akun gajelas komentar ragebait atau emang sefrekuensi sama pelaku!! intinya dunia ini emang udh rusak gada satu manusiapun yg bisa dipercaya 100%,Positive
2026-04-12 09:53:49,"@DennySeggssegar @sampahfhui Wak jadi calon pengacara handal itu harus bersih jejak digital nya, apa lagi jadi pns lebih sulit lagi kode etiknya dalam kegiatan secara online",Neutral
