createdAt,text
2026-04-12 03:20:25,"@DennySeggssegar @sampahfhui jangan shift the blame dong. seandainya mereka ga bercanda soal memperkosa juga gabakal diunggah di sini toh? di ranah paling mikro pun, kalau pandangan terhadap perempuan udah pincang, mau jadi pemimpin gimanapun juga bakal cacat. dont ever kill the messenger :)"
2026-04-12 04:27:51,"@DennySeggssegar @sampahfhui Tongkrongan nya sampah, emg pantes buat disebar, ditelanjangin, diarak, dibakar"
2026-04-12 04:47:04,@DennySeggssegar @sampahfhui Calon pengacara handal???? Hah???
2026-04-12 05:16:28,@DennySeggssegar @sampahfhui Um.. membunuh org juga private bang. Ga dilakuin depan umum. Bgtu juga menucuri dan memperkosa. Semuanya dilakukan diruang pribadi. Dilakukan diruang pribada bukan berarti bebas. Hukum ‘harusnya’ ga kenal lokasi 😅
2026-04-12 06:31:46,@DennySeggssegar @sampahfhui Apa bedanya ama lu nyebarin bokep di grup private?
2026-04-12 06:37:00,"@DennySeggssegar @sampahfhui Mereka sendiri aja sadar kelakuannya salah kok, apalagi dengan jabatan yg mereka punya. Mereka nyamain diri mereka sama pejabat bejat &amp; mengaku salah mintaf maaf meskipun pake template. Ngapain lu sibuk2 nyepongin org salah?"
2026-04-12 06:52:40,"@DennySeggssegar @sampahfhui Statement sampahh, pengacara handal? Bentukan penjahat kelamin gitu jadi pengacara handal sakit luu bang."
2026-04-12 06:59:59,@DennySeggssegar @sampahfhui lu kira korupsi sifatnya gak pribadi?
2026-04-12 08:07:57,@DennySeggssegar @sampahfhui baru jadi calon pengacara aja udah ngelecehin
2026-04-12 08:10:21,@DennySeggssegar @sampahfhui Inilah knp sistem hukum di indonesia gk bnr. Pemikiran mahasiswanya aja begini @mydazeae
2026-04-12 09:31:05,"@DennySeggssegar @sampahfhui Anjay, ada aja cara ngebela sesama."
2026-04-12 09:41:09,@DennySeggssegar @sampahfhui disosmed selalu ada yg kontra tiap ada kejadian kriminal yg terungkap dan biasanya template akun gajelas komentar ragebait atau emang sefrekuensi sama pelaku!! intinya dunia ini emang udh rusak gada satu manusiapun yg bisa dipercaya 100%
2026-04-12 09:53:49,"@DennySeggssegar @sampahfhui Wak jadi calon pengacara handal itu harus bersih jejak digital nya, apa lagi jadi pns lebih sulit lagi kode etiknya dalam kegiatan secara online"
2026-04-12 11:04:49,"@Ritzhy1 @ulil_f4 @bachrum_achmadi Maaf mas anda ga ngerti ilmu hukum, makanya anda mikirnya sama aja. Di dlm ilmu hukum dan aturan hukum ga bisa spt itu. Perdata bsa diwakilkan pengacara dan jokowi bkn tersangka namun saksi jd ga wajib dtg. Jika pidana pun bisa diwakilkan slama bkn terdakwa. Tp beliau mau hadir"
2026-04-12 11:21:25,"@DennySeggssegar @sampahfhui nyabu juga bnyk yg private, apa karena private jdi bebas dari hukum? bisa2x nya yg ginian ada SJW nya"
2026-04-12 12:13:00,"@DennySeggssegar @sampahfhui gw lulusan kampus tsb btw, dan gw bukan yg hebat2 amat. mind you kuliah gw jauh lebih lurus dibanding bejat2 tsb. ga jadi apa2 kok gw. apalagi yang otaknya satu senti kek mereka2 itu. fhui bukan jaminan, malah bisa jadi bumerang"
2026-04-12 12:27:06,"@DennySeggssegar @sampahfhui who cares, go back to ur stank room you old hag"
2026-04-12 12:30:12,@DennySeggssegar @sampahfhui otak lu di intok ya
2026-04-12 12:55:16,@DennySeggssegar @sampahfhui “calon-calon pengacara handal” https://t.co/CYpE8b48Ht
2026-04-12 13:05:44,"@DennySeggssegar @sampahfhui nag all you want stupidass, educate yourself."
2026-04-12 14:02:51,@DennySeggssegar @sampahfhui lu nih kayaknya sekongkol ama mereka ye
